{'model': 'EGCN', 'average': 0.8861897712843934, 'std': 0.025642158581644637, 'max': 0.9210998512950894, 'min': 0.8314774180894469, 'length': 0.08962243320564256, 'avg_time': 627.5166697502136}


{'model': 'GResNet_EGCN(naive)', 'average': 0.7280233604502359, 'std': 0.043356810355317736, 'max': 0.8259859899030966, 'min': 0.6742113303367688, 'length': 0.15177465956632774, 'avg_time': 2225.4092939376833}


{'model': 'GResNet_EGCN_Short', 'average': 0.7361056299764833, 'std': 0.035214999227481864, 'max': 0.8021690498921972, 'min': 0.698358926535083, 'length': 0.10381012335711415, 'avg_time': 1432.2986816644668}


{'model': 'GResNet_1', 'average': 1.1737071239756838, 'std': 0.05414357548917849, 'max': 1.237611338863872, 'min': 1.0695616749103345, 'length': 0.1680496639535376, 'avg_time': 411.6373232603073}


{'model': 'GResNet_2', 'average': 0.9954175145474142, 'std': 0.04813511556127364, 'max': 1.067288636294435, 'min': 0.9357663825784195, 'length': 0.13152225371601545, 'avg_time': 632.7383744955063}


{'model': 'GResNet_3', 'average': 0.7927037002674855, 'std': 0.031338103296218514, 'max': 0.840940824081194, 'min': 0.7525439066380833, 'length': 0.08839691744311062, 'avg_time': 836.9507091760636}


{'model': 'raw_2', 'average': 0.825284188138712, 'std': 0.025559199765711256, 'max': 0.8803410773681065, 'min': 0.7954812043494072, 'length': 0.08485987301869935, 'avg_time': 634.5141333580017}


{'model': 'raw_3', 'average': 0.9808918435555312, 'std': 0.028429451674730082, 'max': 1.028061662938486, 'min': 0.9331433143538117, 'length': 0.0949183485846743, 'avg_time': 835.2461561918259}


{'model': 'raw_6', 'average': 0.8143374090008411, 'std': 0.030846060871918813, 'max': 0.851901974632862, 'min': 0.7683279052777066, 'length': 0.08357406935515543, 'avg_time': 1437.441244649887}


{'model': 'GED', 'average': 0.7154863884022601, 'std': 0.03031648984235268, 'max': 0.775537310289074, 'min': 0.6786543529785793, 'length': 0.09688295731049468, 'avg_time': 2814.5016873598097}


{'model': 'Short_GED', 'average': 0.6923622814376852, 'std': 0.01693867440063466, 'max': 0.7246906595077516, 'min': 0.6679771532374623, 'length': 0.05671350627028926, 'avg_time': 1832.615191602707}


{'model': 'Very_Short_GED', 'average': 0.7600024854658524, 'std': 0.023701373634310876, 'max': 0.787734731603474, 'min': 0.722764822791268, 'length': 0.06496990881220599, 'avg_time': 1025.1721693515778}

{'model': 'Very_Short_GED_3', 'average': 0.7547952494564004, 'std': 0.027166233505149306, 'max': 0.7935466413351412, 'min': 0.716188331866361, 'length': 0.0773583094687802, 'avg_time': 1230.390009021759}
