{'model': 'EGCN', 'average': 0.739145363549724, 'std': 0.030776149354700733, 'max': 0.7920039882564218, 'min': 0.6854782137576704, 'length': 0.10652577449875145, 'avg_time': 624.1283236980438}

{'model': 'GResNet_EGCN(naive)', 'average': 0.7652699285838864, 'std': 0.023304841553638107, 'max': 0.8044312727501506, 'min': 0.7224745003655444, 'length': 0.08195677238460619, 'avg_time': 2203.3725385189055}


{'model': 'GResNet_EGCN_Short', 'average': 0.7035545933121042, 'std': 0.010336986486740456, 'max': 0.7229133398839789, 'min': 0.6872195719475263, 'length': 0.035693767936452625, 'avg_time': 1437.5430052042007}


{'model': 'GResNet_1', 'average': 0.8100150735832228, 'std': 0.012130739055957114, 'max': 0.8331567609124597, 'min': 0.7910818495857792, 'length': 0.04207491132668051, 'avg_time': 411.9162545919418}      


{'model': 'GResNet_2', 'average': 0.7232759156028721, 'std': 0.013997090627467198, 'max': 0.7568921173973755, 'min': 0.7039598401908015, 'length': 0.05293227720657401, 'avg_time': 631.2653938293457}      


{'model': 'GResNet_3', 'average': 0.7293242753008797, 'std': 0.015101177900183496, 'max': 0.7529856562581765, 'min': 0.7077082781707663, 'length': 0.04527737808741017, 'avg_time': 843.6427744150162}      


{'model': 'raw_2', 'average': 0.721506209821883, 'std': 0.013668505672388963, 'max': 0.750058854161672, 'min': 0.7043214355411334, 'length': 0.045737418620538595, 'avg_time': 638.7276391744614}


{'model': 'raw_3', 'average': 0.741501970817059, 'std': 0.016295170902969756, 'max': 0.7743339721870609, 'min': 0.7187429537026251, 'length': 0.05559101848443582, 'avg_time': 843.4012035131454}


{'model': 'raw_6', 'average': 0.711348198884991, 'std': 0.006999950216135595, 'max': 0.7203075056491502, 'min': 0.700017031349858, 'length': 0.020290474299292205, 'avg_time': 1445.3350833892823}

{'model': 'GED', 'average': 0.7144734522294602, 'std': 0.020555674934347908, 'max': 0.7522344338701334, 'min': 0.6825413204516141, 'length': 0.06969311341851936, 'avg_time': 2803.458278775215}

{'model': 'Short_GED', 'average': 0.6588598897874209, 'std': 0.018086210811001716, 'max': 0.6798595750503427, 'min': 0.633411113458933, 'length': 0.046448461591409695, 'avg_time': 1831.394112920761}      

{'model': 'Very_Short_GED', 'average': 0.7036670388395858, 'std': 0.020499962780728364, 'max': 0.7461796871676377, 'min': 0.6823663305879165, 'length': 0.0638133565797212, 'avg_time': 1022.759517788887}

{'model': 'Very_Short_GED_3', 'average': 0.6871722856797485, 'std': 0.019808124256977516, 'max': 0.724314046841536, 'min': 0.6546779692622301, 'length': 0.0696360775793059, 'avg_time': 1228.1423615455628}
