{'model': 'EGCN', 'average': 8.432931072558176, 'std': 0.11133930855136812, 'max': 8.6633774945575, 'min': 8.294275981657506, 'length': 0.36910151289999327, 'avg_time': 53.60874972343445}


{'model': 'GResNet_EGCN(naive)', 'average': 6.183082607292446, 'std': 0.24523038022763144, 'max': 6.777722832726236, 'min': 5.927562012775318, 'length': 0.8501608199509185, 'avg_time': 186.8043668270111}


{'model': 'GResNet_EGCN_Short', 'average': 7.399442036170086, 'std': 0.11620322362469483, 'max': 7.591392067039488, 'min': 7.25093294897926, 'length': 0.34045911806022744, 'avg_time': 126.7833607673645}


{'model': 'GResNet_1', 'average': 10.710754210585662, 'std': 0.03334339557956726, 'max': 10.766403929218619, 'min': 10.668454480811782, 'length': 0.09794944840683684, 'avg_time': 37.37118394374848}


{'model': 'GResNet_2', 'average': 7.36278035479325, 'std': 0.06407020260469473, 'max': 7.443542420303061, 'min': 7.2470902676979865, 'length': 0.1964521526050742, 'avg_time': 45.99982042312622}


{'model': 'GResNet_3', 'average': 7.504025720494394, 'std': 0.07598367882837533, 'max': 7.68024330622962, 'min': 7.402200229152031, 'length': 0.278043077077589, 'avg_time': 56.39789938926697}


{'model': 'raw_2', 'average': 6.877079668998317, 'std': 0.047152598557950884, 'max': 6.964449495248026, 'min': 6.794790018958355, 'length': 0.16965947628967104, 'avg_time': 45.11076540946961}


{'model': 'raw_3', 'average': 8.200890938360516, 'std': 0.1160138986744995, 'max': 8.410432529374944, 'min': 8.027078351076245, 'length': 0.3833541782986991, 'avg_time': 55.77441442012787}


{'model': 'raw_6', 'average': 7.190274324577045, 'std': 0.12071519858622551, 'max': 7.406889143779443, 'min': 6.971395304100282, 'length': 0.435493839679161, 'avg_time': 107.92872807979583}


{'model': 'GED', 'average': 7.105031272951008, 'std': 0.23063291900893745, 'max': 7.561202847562802, 'min': 6.6991490876709765, 'length': 0.8620537598918254, 'avg_time': 202.79358310699462}


{'model': 'Short_GED', 'average': 7.063351968970588, 'std': 0.09059405749976718, 'max': 7.206099779482479, 'min': 6.845417342381157, 'length': 0.360682437101322, 'avg_time': 137.00430557727813}


{'model': 'Very_Short_GED', 'average': 6.551869763530647, 'std': 0.15081851486078057, 'max': 6.783528868642042, 'min': 6.2685353875210374, 'length': 0.5149934811210048, 'avg_time': 66.62600929737091}


{'model': 'Very_Short_GED_3', 'average': 7.345621654787709, 'std': 0.09713796731944925, 'max': 7.435073802462132, 'min': 7.1080283011181775, 'length': 0.3270455013439548, 'avg_time': 79.64257140159607}
