{'model': 'EGCN', 'average': 1.8734506204124397, 'std': 0.009375083809317447, 'max': 1.8882236718028012, 'min': 1.8578533185676953, 'length': 0.03037035323510584, 'avg_time': 49.083668446540834}


{'model': 'GResNet_EGCN(naive)', 'average': 1.692454785283185, 'std': 0.016577871834026457, 'max': 1.7212363276407394, 'min': 1.6658117251319653, 'length': 0.05542460250877412, 'avg_time': 167.54991936683655}


{'model': 'GResNet_EGCN_Short', 'average': 1.835935247161823, 'std': 0.030704708366715808, 'max': 1.8960407295371504, 'min': 1.7868350750395272, 'length': 0.1092056544976232, 'avg_time': 110.38713319301606}


{'model': 'GResNet_1', 'average': 2.2308945337006514, 'std': 0.004138124831097589, 'max': 2.237419288829233, 'min': 2.2248046185295762, 'length': 0.012614670299656794, 'avg_time': 35.899929714202884}


{'model': 'GResNet_2', 'average': 1.7990154279426953, 'std': 0.019881575829929218, 'max': 1.8314699439293936, 'min': 1.7719282081137628, 'length': 0.059541735815630714, 'avg_time': 46.370637679100035}


{'model': 'GResNet_3', 'average': 2.2438774566824655, 'std': 0.016006180540768147, 'max': 2.2668289066256686, 'min': 2.21567902035056, 'length': 0.051149886275108525, 'avg_time': 57.03895514011383}


{'model': 'raw_2', 'average': 1.912497228030983, 'std': 0.021791598091465515, 'max': 1.9433634794739323, 'min': 1.8610424775705248, 'length': 0.08232100190340752, 'avg_time': 45.56435537338257}


{'model': 'raw_3', 'average': 1.9244755285379653, 'std': 0.01728304137635778, 'max': 1.9461068400727903, 'min': 1.8842648149790613, 'length': 0.06184202509372905, 'avg_time': 55.91054651737213}


{'model': 'raw_6', 'average': 1.7883580918016002, 'std': 0.017632796156808562, 'max': 1.8227170278011855, 'min': 1.7684208577302756, 'length': 0.05429617007090992, 'avg_time': 106.90006995201111}


{'model': 'GED', 'average': 1.7407037939030499, 'std': 0.03905819436219177, 'max': 1.8231493327654476, 'min': 1.6875562085106217, 'length': 0.13559312425482584, 'avg_time': 315.786332988739}


{'model': 'Short_GED', 'average': 1.6640819877032484, 'std': 0.014959346209323638, 'max': 1.6878168778242653, 'min': 1.6422345504857045, 'length': 0.04558232733856071, 'avg_time': 138.60415580272675}


{'model': 'Very_Short_GED', 'average': 1.7990869751820349, 'std': 0.010728263819747143, 'max': 1.816906549162881, 'min': 1.7812453285378247, 'length': 0.03566122062505639, 'avg_time': 64.4193605184555}


{'model': 'Very_Short_GED_3', 'average': 1.7256067840856821, 'std': 0.03386167247988701, 'max': 1.8025619256451288, 'min': 1.673504863192616, 'length': 0.12905706245251292, 'avg_time': 73.80764162540436}
