{'model': 'EGCN', 'average': 1.1918011055900937, 'std': 0.0061255570633959346, 'max': 1.2022849527994792, 'min': 1.1783181145077661, 'length': 0.02396683829171309, 'avg_time': 308.7752026557922}


{'model': 'GResNet_EGCN(naive)', 'average': 1.0519676477341424, 'std': 0.04621385132134531, 'max': 1.166596693311419, 'min': 0.992308467683338, 'length': 0.17428822562808088, 'avg_time': 1146.4909119844438}


{'model': 'GResNet_EGCN_Short', 'average': 1.130630189986456, 'std': 0.03289366522086951, 'max': 1.183925659542992, 'min':1.0763058553423202, 'length': 0.10761980420067174, 'avg_time': 746.4294168949127}


{'model': 'GResNet_1', 'average': 1.2262553907121931, 'std': 0.004709244704325864, 'max': 1.2342189134870256, 'min': 1.220307076772054, 'length': 0.013911836714971537, 'avg_time': 225.36771852970122}


{'model': 'GResNet_2', 'average': 1.123302451814924, 'std': 0.01337339303779712, 'max': 1.1581148547217959, 'min': 1.1109564308893112, 'length': 0.0471584238324847, 'avg_time': 302.77068040370943}


{'model': 'GResNet_3', 'average': 1.1168550801958355, 'std': 0.012419246619395833, 'max': 1.1372036670503163, 'min': 1.0999908846900577, 'length': 0.0372127823602586, 'avg_time': 379.284295463562}


{'model': 'raw_2', 'average': 1.0661889665694464, 'std': 0.005528998604268113, 'max': 1.074165103549049, 'min': 1.0548806553795225, 'length': 0.019284448169526458, 'avg_time': 297.94735345840456}


{'model': 'raw_3', 'average': 1.2285632866450718, 'std': 0.010387977643103717, 'max': 1.2477480915614536, 'min': 1.211237821124849, 'length': 0.03651027043660471, 'avg_time': 378.5801377773285}


{'model': 'raw_6', 'average': 1.1417469490596228, 'std': 0.008824471754831325, 'max': 1.1496638425191243, 'min': 1.1222850218273346, 'length': 0.027378820691789763, 'avg_time': 742.5514175891876}


{'model': 'GED', 'average': 1.0722637105669295, 'std': 0.035103611758659115, 'max': 1.1202126530238563, 'min': 1.0091565831502278, 'length': 0.11105606987362848, 'avg_time': 1403.5384443998337}


{'model': 'Short_GED', 'average': 1.0850929478236606, 'std': 0.020272894892200154, 'max': 1.1129136203584218, 'min': 1.0514462098621187, 'length': 0.06146741049630311, 'avg_time': 937.2137321949006}


{'model': 'Very_Short_GED', 'average': 1.1193991102491105, 'std': 0.012537053419963348, 'max': 1.1420903105962845, 'min': 1.0931721914382206, 'length': 0.04891811915806388, 'avg_time': 447.82332973480226}


{'model': 'Very_Short_GED_3', 'average': 1.083827140444801, 'std': 0.009437112795713106, 'max': 1.1030365480695452, 'min': 1.0706225931076776, 'length': 0.03241395496186761, 'avg_time': 528.0689600944519}
