{'model': 'EGCN', 'average': 0.8552294918809619, 'std': 0.006550288013167192, 'max': 0.8661537189710706, 'min': 0.8459556380907696, 'length': 0.02019808088030106, 'avg_time': 2267.49978017807}


{'model': 'GResNet_EGCN(naive)', 'average': 0.8676594420047034, 'std': 0.009258084760450671, 'max': 0.8835491711752754, 'min': 0.8542286540213085, 'length': 0.029320517153966885, 'avg_time': 8014.108351755142}


{'model': 'GResNet_EGCN_Short', 'average': 0.8828543325946445, 'std': 0.005093370058073057, 'max': 0.8933360709462848, 'min': 0.8770345995539712, 'length': 0.016301471392313527, 'avg_time': 5162.841769886017}


{'model': 'GResNet_1', 'average': 0.8884212853795006, 'std': 0.0032535911729794542, 'max': 0.8940383378664652, 'min': 0.882638383592878, 'length': 0.011399954273587198, 'avg_time': 1475.4035397529601}    


{'model': 'GResNet_2', 'average': 0.8404783583936236, 'std': 0.007377049422118186, 'max': 0.8585027776445662, 'min': 0.8318924349830266, 'length': 0.02661034266153961, 'avg_time': 2279.196168875694}      


{'model': 'GResNet_3', 'average': 0.8498460784696398, 'std': 0.005616986421587954, 'max': 0.8580349373817443, 'min': 0.8397722732453119, 'length': 0.018262664136432405, 'avg_time': 3011.84573905468}      


{'model': 'raw_2', 'average': 0.863392388775235, 'std': 0.00732366497131795, 'max': 0.874663614432017, 'min': 0.8527194102605185, 'length': 0.02194420417149856, 'avg_time': 2272.9702876091005}


{'model': 'raw_3', 'average': 0.8803734209537506, 'std': 0.005943848578670519, 'max': 0.8868479344958351, 'min': 0.8668312112490335, 'length': 0.020016723246801593, 'avg_time': 3016.490724277496}


{'model': 'raw_6', 'average': 0.8803009964908872, 'std': 0.004262877370738545, 'max': 0.888863491330828, 'min': 0.8725339804376875, 'length': 0.016329510893140498, 'avg_time': 5245.514100122452}


{'model': 'GED', 'average': 0.9012396243299754, 'std': 0.0019605703008791116, 'max': 0.9041385688100542, 'min': 0.898083399818057, 'length': 0.006055168991997206, 'avg_time': 10224.70704574585}


{'model': 'Short_GED', 'average': 0.8931577371756235, 'std': 0.0038463699621379254, 'max': 0.8982990675880795, 'min': 0.8863634249142238, 'length': 0.011935642673855718, 'avg_time': 6690.80965821743}  

{'model': 'Very_Short_GED', 'average': 0.8469915839490436, 'std': 0.011380104253057011, 'max': 0.870320952960423, 'min': 0.8241813558623903, 'length': 0.046139597098032725, 'avg_time': 3744.532449364662}  

{'model': 'Very_Short_GED_3', 'average': 0.873171978076299, 'std': 0.0068466382716769, 'max': 0.8872984233356658, 'min': 0.8587803831554595, 'length': 0.028518040180206317, 'avg_time': 4461.165532016754}
