{'model': 'EGCN', 'average': 1.2142237874853468, 'std': 0.005026362736398845, 'max': 1.2256862068948475, 'min': 1.20806952024761, 'length': 0.01761668664723759, 'avg_time': 2502.736761689186}


{'model': 'GResNet_EGCN(naive)', 'average': 1.2026490109555634, 'std': 0.006279834299608777, 'max': 1.2167399209520595, 'min': 1.1945700749694577, 'length': 0.022169845982601855, 'avg_time': 6565.179161095619}


{'model': 'GResNet_EGCN_Short', 'average': 1.1957180421651619, 'std': 0.005802362288137146, 'max': 1.205486591431776, 'min': 1.188449784329063, 'length': 0.01703680710271316, 'avg_time': 4548.724429106713}


{'model': 'GResNet_1', 'average': 1.2169315336976456, 'std': 0.010378594881727392, 'max': 1.235510323404783, 'min': 1.2027734482336623, 'length': 0.03273687517112078, 'avg_time': 1925.6593304872513}      


{'model': 'GResNet_2', 'average': 1.2009962632492006, 'std': 0.007320664775057406, 'max': 1.2201818736458596, 'min': 1.1927069443922778, 'length': 0.02747492925358186, 'avg_time': 2518.7883608818056}     


{'model': 'GResNet_3', 'average': 1.208503333103319, 'std': 0.012819518424496563, 'max': 1.2288742119484102, 'min': 1.1924368028216032, 'length': 0.03643740912680693, 'avg_time': 3028.0273983716966}      


{'model': 'raw_2', 'average': 1.202732240970318, 'std': 0.003804384774172962, 'max': 1.20783055571892, 'min': 1.1926585162699463, 'length': 0.015172039448973607, 'avg_time': 2518.06870405674}


{'model': 'raw_3', 'average': 1.203314129871878, 'std': 0.004722265809584192, 'max': 1.2120499251825123, 'min': 1.1939828671907124, 'length': 0.018067057991799862, 'avg_time': 3017.5436836957933}


{'model': 'raw_6', 'average': 1.19926935863881, 'std': 0.0053759386710309776, 'max': 1.2088750252356895, 'min': 1.191451798180337, 'length': 0.017423227055352486, 'avg_time': 4538.999738359451}


{'model': 'GED', 'average': 1.1489386909114203, 'std': 0.006694629868961426, 'max': 1.1613751160471062, 'min': 1.1416448840245543, 'length': 0.019730232022551863, 'avg_time': 8031.201723122596}


{'model': 'Short_GED', 'average': 1.201325377529932, 'std': 0.011205073567724325, 'max': 1.2239504648123674, 'min': 1.1887221911658161, 'length': 0.035228273646551234, 'avg_time': 5542.152645111084}  

{'model': 'Very_Short_GED', 'average': 1.2068153205670806, 'std': 0.004345150188306512, 'max': 1.2153532553298272, 'min': 1.1996648224741824, 'length': 0.015688432855644807, 'avg_time': 3507.0254022836684}


{'model': 'Very_Short_GED_3', 'average': 1.2113348185195614, 'std': 0.010409645122169785, 'max': 1.2359812539598718, 'min': 1.1966112260393769, 'length': 0.03937002792049493, 'avg_time': 4024.0067281484603}
