{'model': 'EGCN', 'average': 0.29388197032377794, 'std': 0.0027708637517429484, 'max': 0.3006552958009059, 'min': 0.2908094699820333, 'length': 0.009845825818872611, 'avg_time': 717.6124643564224}


{'model': 'GResNet_EGCN(naive)', 'average': 0.2767410052948018, 'std': 0.004623145300944339, 'max': 0.2886702086867665, 'min': 0.27274439902111636, 'length': 0.01592580966565016, 'avg_time': 3127.0230226516724}


{'model': 'GResNet_EGCN_Short', 'average': 0.2889200425077621, 'std': 0.0018915764573156754, 'max': 0.29061415815732194, 'min': 0.28413221989626153, 'length': 0.006481938261060416, 'avg_time': 1523.491365289688}


{'model': 'GResNet_1', 'average': 0.24188851715721454, 'std': 0.0020397595222621055, 'max': 0.24551458883486216, 'min': 0.23796506061441222, 'length': 0.007549528220449936, 'avg_time': 489.19670686721804}


{'model': 'GResNet_2', 'average': 0.28432812487719056, 'std': 0.003577974994123935, 'max': 0.2897850036272017, 'min': 0.27973857146558495, 'length': 0.0100464326161677, 'avg_time': 695.4203843593598}


{'model': 'GResNet_3', 'average': 0.275428764679967, 'std': 0.0021250015657719628, 'max': 0.2793897098265091, 'min': 0.27223344062983573, 'length': 0.007156269196673393, 'avg_time': 910.1758812189103}


{'model': 'raw_2', 'average': 0.2388193355159039, 'std': 0.0026085983178474902, 'max': 0.24356656752739453, 'min': 0.23471705873595158, 'length': 0.008849508791442945, 'avg_time': 695.0153797388077}


{'model': 'raw_3', 'average': 0.24137090999095262, 'std': 0.0029914356525152443, 'max': 0.24532190206481558, 'min': 0.23601211346387713, 'length': 0.009309788600938451, 'avg_time': 900.1833709478378}


{'model': 'raw_6', 'average': 0.24167982378070976, 'std': 0.0024591697955489455, 'max': 0.24602552567151145, 'min': 0.23856175220048675, 'length': 0.007463773471024698, 'avg_time': 1508.7423519849776}


{'model': 'GED', 'average': 0.28138826482228374, 'std': 0.0052768954458307475, 'max': 0.29056884299169533, 'min': 0.27423721541049667, 'length': 0.01633162758119866, 'avg_time': 3777.482964539528}


{'model': 'Short_GED', 'average': 0.26444464965530556, 'std': 0.003110440487466369, 'max': 0.27081450148981734, 'min': 0.2615305511995406, 'length': 0.009283950290276732, 'avg_time': 2388.5939433574677}


{'model': 'Very_Short_GED', 'average': 0.27968730555098764, 'std': 0.002684199319467714, 'max': 0.28498977589051666, 'min': 0.27561688502849685, 'length': 0.009372890862019811, 'avg_time': 1097.1356915712356}


{'model': 'Very_Short_GED_3', 'average': 0.278786437172321, 'std': 0.003233059723106572, 'max': 0.28429117500938145, 'min': 0.2745908559752962, 'length': 0.009700319034085247, 'avg_time': 1301.735775756836}
