{'model': 'EGCN', 'average': 0.3429737956035782, 'std': 0.0016570837721663872, 'max': 0.3464731274051693, 'min': 0.34061963805914736, 'length': 0.005853489346021923, 'avg_time': 1604.674671316147}        


{'model': 'GResNet_EGCN(naive)', 'average': 0.3068936781979861, 'std': 0.003547338133127377, 'max': 0.31250072020539627, 'min': 0.298384526237893, 'length': 0.014116193967503243, 'avg_time': 4089.575155329704}


{'model': 'GResNet_EGCN_Short', 'average': 0.32676812595103516, 'std': 0.0038189418244226835, 'max': 0.33218843393610553, 'min': 0.3202641333844011, 'length': 0.011924300551704459, 'avg_time': 2793.0040242671967}


{'model': 'GResNet_1', 'average': 0.2426378949011983, 'std': 0.0032954567505165708, 'max': 0.2474158901000183, 'min': 0.23818184562476538, 'length': 0.009234044475252917, 'avg_time': 1273.337243270874}   


{'model': 'GResNet_2', 'average': 0.3403127816294566, 'std': 0.004741901789135855, 'max': 0.34597064611875333, 'min': 0.3330594986523253, 'length': 0.012911147466428019, 'avg_time': 1598.9703116893768}   


{'model': 'GResNet_3', 'average': 0.31799004988286217, 'std': 0.006418639730501156, 'max': 0.3310024614039408, 'min': 0.30946872426235533, 'length': 0.021533737141585463, 'avg_time': 1903.4924558877944}  


{'model': 'raw_2', 'average': 0.23667363085790258, 'std': 0.0031897025266265124, 'max': 0.2415944045635381, 'min': 0.23276988564354859, 'length': 0.008824518919989505, 'avg_time': 1600.2880880594253}     


{'model': 'raw_3', 'average': 0.23407426817888694, 'std': 0.0025184985517382416, 'max': 0.2384963869988111, 'min': 0.22968665214503484, 'length': 0.008809734853776258, 'avg_time': 1900.6374190330505}     


{'model': 'raw_6', 'average': 0.2405175986510817, 'std': 0.0019165037513484973, 'max': 0.24421197954696772, 'min': 0.2368143594924254, 'length': 0.007397620054542309, 'avg_time': 2792.9021084308624}      


{'model': 'GED', 'average': 0.3340750010930409, 'std': 0.006902976048042222, 'max': 0.3463889745108547, 'min': 0.32038516029482417, 'length': 0.02600381421603054, 'avg_time': 4841.656893086433}


{'model': 'Short_GED', 'average': 0.30828026530241465, 'std': 0.006859344043374732, 'max': 0.31794248242619716, 'min': 0.2955230159478474, 'length': 0.022419466478349748, 'avg_time': 3365.694470691681}


{'model': 'Very_Short_GED', 'average': 0.32544647497282564, 'std': 0.0034459439799222986, 'max': 0.3319240726634084, 'min': 0.32091827839436327, 'length': 0.011005794269045133, 'avg_time': 2183.9172412633898}


{'model': 'Very_Short_GED_3', 'average': 0.298863141901381, 'std': 0.002583441790816338, 'max': 0.3038355668351375, 'min': 0.29546071448300965, 'length': 0.00837485235212787, 'avg_time': 2484.027776837349}
